ts,TcwIn,TcwOut,Fcw,TcdOut,TcdIn,E,State,Q,Fcd,COP,Eff,dT
2023-07-21 03:50:00,10.833333,5.0,1380.8036864,33.0944446,28.838888700000002,1473.0,1.0,9368.351215338345,2190.4457421783036,6.36008742899964,1.0,28.094444600000003
2023-07-21 04:00:00,10.8,4.9944444,1374.4561888,33.0722223,28.8388888,1450.0,1.0,9280.866650328073,2179.4984402793166,6.400814678740088,1.0,28.0777779
2023-07-21 04:10:00,10.8,5.0055556,1381.5680176,33.0,28.7611112,1456.0,1.0,9311.050499564222,2183.9426810043715,6.394954405136184,1.0,27.9944444
2023-07-21 04:20:00,10.7833335,4.9944444,1378.1487915,33.0833335,28.855555499999998,1461.0,1.0,9279.07857511233,2184.157166306687,6.351445050378011,1.0,28.0888891
2023-07-21 04:30:00,10.8388886,5.0,1380.7835694,33.194444499999996,28.9,1485.0,1.0,9377.060382712962,2174.7329404637667,6.314620902628806,1.0,28.194444499999996
2023-07-21 04:40:00,10.8055556,4.9833332,1376.1212768999999,33.1611111,28.9,1459.0,1.0,9318.969028302634,2174.740793761148,6.387314257667206,1.0,28.177777900000002
2023-07-21 04:50:00,10.7555556,5.0,1379.4673217,33.066667,28.855555399999997,1443.0,1.0,9234.389127336972,2180.0465117732883,6.399481333743152,1.0,28.066667000000002
2023-07-21 05:00:00,10.7722224,5.0055556,1380.4410888999998,33.0944445,28.855555399999997,1455.0,1.0,9258.91472278179,2173.169464260508,6.36366698601879,1.0,28.0888889
2023-07-21 05:10:00,10.7722224,5.0,1377.7883055,33.1,28.8777778,1453.0,1.0,9249.975336195708,2179.4604016283897,6.366179106597244,1.0,28.1
2023-07-21 05:20:00,10.7888889,4.9888888,1380.7558229,32.9833332,28.7777777,1447.0,1.0,9314.466034028292,2200.1492785245578,6.437262680968404,1.0,27.9944444
2023-07-21 05:30:00,10.8166665,5.0,1386.1848022,32.9944444,28.727777600000003,1467.0,1.0,9378.008058131101,2185.428375031246,6.392659517718681,1.0,27.9944444
2023-07-21 05:40:00,10.8388886,5.0055556,1388.0854003999998,33.0611115,28.777778,1476.0,1.0,9417.682705051217,2186.6712446911847,6.380633167541493,1.0,28.0555559
2023-07-21 05:50:00,10.8277775,4.9777776000000005,1380.7119994999998,33.055556,28.788889,1469.0,1.0,9394.502053578131,2189.126426292593,6.395333076660174,1.0,28.0777784
2023-07-21 06:00:00,10.794444299999999,4.9944444,1374.8838257,33.027778,28.777778,1446.0,1.0,9274.973190724832,2168.9055692470492,6.414433855727019,1.0,28.033333600000002
2023-07-21 06:10:00,10.7055555,4.9888888,1370.7319212,32.922222,28.75,1424.0,1.0,9114.178922306786,2171.784495113845,6.400378590726407,1.0,27.9333332
2023-07-21 06:20:00,10.7666668,5.0222223999999995,1375.053418,32.8999998,28.7388888,1437.0,1.0,9187.235126796724,2195.2529814603386,6.393531520276047,1.0,27.877777400000003
2023-07-21 06:30:00,10.8833333,5.0222223999999995,1375.8321046,33.0722223,28.794444500000004,1482.0,1.0,9379.018164887495,2182.9646678196978,6.328602916418022,1.0,28.0499999
2023-07-21 06:40:00,10.827777600000001,5.0,1373.0586792,33.066667,28.811111,1455.0,1.0,9306.778335409144,2174.3263156101543,6.396665616638488,1.0,28.066667000000002
2023-07-21 06:50:00,10.788889000000001,5.0166668,1375.7009643,33.0111112,28.794444500000004,1447.0,1.0,9236.020150372316,2178.299740635034,6.38326177479646,1.0,27.994444400000003
2023-07-21 07:00:00,10.8,4.9944444,1374.5491822,33.088889,28.877777700000003,1454.0,1.0,9281.497036673038,2191.8928675947673,6.383438042075208,1.0,28.094444600000003
2023-07-21 07:10:00,10.8,5.0166668,1375.0534667,33.1833333,28.972222,1459.0,1.0,9249.356167574584,2186.4637808936805,6.339711317436972,1.0,28.1666665
2023-07-21 07:20:00,10.8166667,5.0166668,1380.5207642,33.2666665,29.022222399999997,1476.0,1.0,9313.07079298978,2185.500052852857,6.309827723593798,1.0,28.2499997
2023-07-21 07:30:00,10.888889,5.0,1372.2980226,33.388889,29.1055555,1487.0,1.0,9399.316264152987,2185.1842291091866,6.320994461268511,1.0,28.388889
2023-07-21 07:40:00,10.861111,5.0055556,1374.5478881,33.411111,29.166667,1487.0,1.0,9361.374553412004,2197.5812784528207,6.2957019993017,1.0,28.405555399999997
2023-07-21 07:50:00,10.8777778,4.9944444,1371.3034424,33.4611108,29.166667,1489.0,1.0,9383.635628166287,2176.830283396843,6.3020269595754455,1.0,28.466666399999998
2023-07-21 08:00:00,10.8055555,4.9833332,1366.9269651999998,33.3666664,29.133333400000005,1453.0,1.0,9256.520481929201,2175.0911881522075,6.37076667046375,1.0,28.3833332
2023-07-21 08:10:00,10.766666599999999,4.9944444,1366.4008422000002,33.2666666,29.0888892,1443.0,1.0,9173.494440430646,2184.876147286504,6.357452133870581,1.0,28.272222199999998
2023-07-21 08:20:00,10.7944444,5.0111112,1371.0549684,33.294444299999995,29.116666900000002,1456.0,1.0,9222.365944560717,2197.599400045292,6.3342523556095145,1.0,28.2833331
2023-07-21 08:30:00,10.833333,5.0,1374.6078124,33.5055556,29.2611111,1480.0,1.0,9326.314013171457,2189.0406958515528,6.301666066866499,1.0,28.5055556
2023-07-21 08:40:00,10.8277775,4.9944444,1376.2099243,33.638889,29.3999999,1480.0,1.0,9337.18403596913,2194.1317042017986,6.308908132411575,1.0,28.644444599999996
2023-07-21 08:50:00,10.8499998,5.0055556,1381.6643798,33.7333333,29.466666500000002,1498.0,1.0,9392.15099490493,2194.517601519894,6.26983248005417,1.0,28.7277777
2023-07-21 09:00:00,10.8777778,5.0055556,1384.3169311,33.9944445,29.688888900000002,1522.0,1.0,9454.878870137589,2192.0365159471307,6.212180679651493,1.0,28.9888889
2023-07-21 09:10:00,10.8777778,5.0,1387.4292969,34.1000002,29.783333199999998,1533.0,1.0,9485.086299022138,2194.6237124364698,6.18736539861102,1.0,29.1000002
2023-07-21 09:20:00,10.8722222,4.9888888,1384.0621216,34.1500001,29.8333333,1533.0,1.0,9470.879383046475,2191.8287300820025,6.1783236153542145,1.0,29.161111299999998
2023-07-21 09:30:00,10.822222,4.9944444,1380.5700683999999,34.105555700000004,29.827777700000002,1504.0,1.0,9357.823219162945,2183.081908800374,6.222011143427517,1.0,29.111111299999997
2023-07-21 09:40:00,10.8666666,5.0222223999999995,1388.1102296000001,34.1611112,29.855555399999997,1535.0,1.0,9435.815412017388,2190.865773912016,6.1474478114246605,1.0,29.1388888
2023-07-21 09:50:00,10.883333400000001,4.9944444,1384.3057007,34.25,29.9222221,1541.0,1.0,9481.560763672274,2189.804550563601,6.152887099999796,1.0,29.2555556
2023-07-21 10:00:00,10.8777778,5.0055556,1388.9757567000001,34.3611109,30.033333499999998,1548.0,1.0,9486.605223968985,2192.2254470502,6.128542601224934,1.0,29.355555300000002
2023-07-21 10:10:00,10.888889,4.9944444,1389.8257203,34.5388892,30.1777778,1562.0,1.0,9528.32107006279,2186.4995823631534,6.1001353716278865,1.0,29.5444448
2023-07-21 10:20:00,10.922222000000001,5.0,1395.1555665,34.5,30.133333400000005,1573.0,1.0,9609.966381061768,2201.9493920324585,6.109374174140654,1.0,29.5
2023-07-21 10:30:00,10.905555500000002,5.0,1390.7595459,34.6222224,30.266666499999996,1569.0,1.0,9552.730735027559,2195.4609684265297,6.088462457815835,1.0,29.6222224
2023-07-21 10:40:00,10.927777500000001,4.9888888,1391.518225,34.605555700000004,30.2333334,1572.0,1.0,9611.900509241434,2199.29831611935,6.114487914259432,1.0,29.616666900000002
2023-07-21 10:50:00,10.9277776,5.0166668,1397.5795289,34.6222225,30.2333334,1588.0,1.0,9608.503194573197,2193.398916000331,6.051059348854357,1.0,29.605555700000004
2023-07-21 11:00:00,11.0388892,5.0166668,1394.9420655,34.8222221,30.338888700000002,1634.0,1.0,9770.827489627447,2187.1421359316896,5.979930733520069,1.0,29.8055553
2023-07-21 11:10:00,11.044444799999999,4.9944444,1394.4449708,34.7055555,30.183333400000002,1630.0,1.0,9812.452027738309,2175.50789447279,6.0198179158303455,1.0,29.7111111
2023-07-21 11:20:00,11.0055556,4.9833332,1392.2890869,34.694444499999996,30.233333199999997,1609.0,1.0,9752.148103536163,2189.687279892704,6.061128025529042,1.0,29.7111113
2023-07-21 11:30:00,10.9833332,5.0111112,1397.3545166,34.8555554,30.4388888,1610.0,1.0,9706.404187822194,2202.972244524288,6.029142119879066,1.0,29.844444199999998
2023-07-21 11:40:00,11.044444799999999,5.0,1401.4622924,35.0444447,30.5500003,1645.0,1.0,9852.620240595588,2199.489240445835,5.989588959468397,1.0,30.044444700000003
2023-07-21 11:50:00,11.0333336,5.0055556,1397.4525023,35.1999999,30.6833334,1652.0,1.0,9797.272254069043,2179.4891525559638,5.930729531769269,1.0,30.194444300000004
2023-07-21 12:00:00,11.0388891,5.0222223999999995,1402.049829,35.1611112,30.655555600000003,1645.0,1.0,9811.51703078277,2186.2678611502156,5.964555277810043,1.0,30.1388888
2023-07-21 12:10:00,11.061111499999999,5.0,1406.2896361,35.255555699999995,30.7111111,1670.0,1.0,9913.876841487312,2191.6411011716314,5.936615775708706,1.0,30.255555699999995
2023-07-21 12:20:00,11.1111113,5.0,1401.6069579,35.2499999,30.661111,1685.0,1.0,9962.284463981467,2182.4277880267778,5.912854027761465,1.0,30.2499999
2023-07-21 12:30:00,11.055556,5.0055556,1401.0119263000001,35.2166666,30.677778,1665.0,1.0,9858.455548205759,2182.8933707029014,5.921042161777016,1.0,30.211111
2023-07-21 12:40:00,11.0777781,5.0111112,1404.4696777,35.2944443,30.7444446,1676.0,1.0,9910.11214019072,2189.356082752377,5.912955024389592,1.0,30.283333100000004
2023-07-21 12:50:00,11.1500002,5.0111112,1400.8005004,35.3777776,30.7833333,1700.0,1.0,10001.805378116196,2189.8734595752035,5.883414928303645,1.0,30.366666399999996
2023-07-21 13:00:00,11.2,5.0388892,1396.1909791,35.4888888,30.877777700000003,1707.0,1.0,10005.0727944211,2183.866797986416,5.861247874099655,1.0,30.4499996
2023-07-21 13:10:00,11.138889,4.9888888,1394.3746462,35.4388886,30.855555399999997,1693.0,1.0,9973.981324570303,2188.6201640629815,5.891628272657477,1.0,30.4499998
2023-07-21 13:20:00,11.0944446,5.0,1391.950891,35.4444442,30.8833332,1681.0,1.0,9866.507381443033,2176.7528412058737,5.8694614483865095,1.0,30.4444442
2023-07-21 13:30:00,11.2,5.0,1371.9588379000002,35.4055554,30.8499999,1678.0,1.0,9893.31268338011,2183.9466762503935,5.89602430633544,1.0,30.405555399999997
2023-07-21 13:40:00,11.1555558,4.9944444,1365.4880249,35.4333331,30.9333331,1649.0,1.0,9785.06679593614,2184.6173600313896,5.934010316435017,1.0,30.4388887
2023-07-21 13:50:00,11.138889,5.0,1370.4105468,35.3277777,30.8388889,1644.0,1.0,9784.816596478597,2189.043811047553,5.951897901772843,1.0,30.327777700000002
2023-07-21 14:00:00,11.1944445,5.027778,1376.0510866,35.4499998,30.905555500000002,1686.0,1.0,9869.546501240666,2186.271260162256,5.854080998256845,1.0,30.4222218
2023-07-21 14:10:00,11.2444444,4.9888888,1372.6928467,35.3611108,30.761111,1692.0,1.0,9987.3077626323,2183.000935146372,5.902856709879087,1.0,30.372222
2023-07-21 14:20:00,11.1611113,4.966666399999999,1370.2219848,34.844444499999994,30.3222222,1628.0,1.0,9872.089311724585,2186.620814362843,6.0641948905638206,1.0,29.8777781
2023-07-21 14:30:00,11.166667,5.0055556,1369.4805908,34.8444444,30.355555499999998,1632.0,1.0,9813.558298162632,2192.3223442347357,6.013412977147984,1.0,29.8388888
2023-07-21 14:40:00,11.222222,5.0111112,1375.9465576,34.9777776,30.4222222,1669.0,1.0,9939.965872579078,2190.9766298870427,5.955804193784895,1.0,29.966666399999998
2023-07-21 14:50:00,11.2166665,4.9888888,1371.689624,34.9277775,30.3888889,1653.0,1.0,9935.807231120525,2195.3438185450905,6.010788246847399,1.0,29.938888699999996
2023-07-21 15:00:00,11.1611114,4.9944444,1370.4385743,34.972222099999996,30.4444442,1639.0,1.0,9829.394863647733,2177.8333650871305,5.997234992031092,1.0,29.9777777
2023-07-21 15:10:00,11.1555558,5.0055556,1370.8285156,34.9555555,30.455555500000003,1635.0,1.0,9805.553869222194,2185.92235660601,5.997405498281276,1.0,29.9499999
2023-07-21 15:20:00,11.2055555,5.0111112,1377.0742311,35.1444445,30.577778000000002,1677.0,1.0,9921.328524722252,2183.73214479491,5.91641748220391,1.0,30.133333299999997
2023-07-21 15:30:00,11.1500002,4.9888888,1379.3645019,35.066667,30.5333336,1649.0,1.0,9884.51468954539,2187.4119333610915,5.994335760971801,1.0,30.0777782
2023-07-21 15:40:00,11.1833332,5.0166668,1386.2225585,35.1611111,30.627778,1677.0,1.0,9942.75597198574,2203.769507395212,5.929037480342165,1.0,30.144444300000004
2023-07-21 15:50:00,11.2444444,5.0055556,1390.844922,35.1388889,30.4999998,1704.0,1.0,10092.554769825854,2186.434733367251,5.92286515781495,1.0,30.133333300000004
2023-07-21 16:00:00,11.2222221,4.9888888,1386.9163576,35.111111199999996,30.477777600000003,1691.0,1.0,10055.127752112809,2179.7234114498056,5.946429307079298,1.0,30.1222224
2023-07-21 16:10:00,11.188889,4.9888888,1385.6365723,35.0666669,30.494444299999998,1675.0,1.0,9992.09489121035,2194.008846127374,5.965507614795171,1.0,30.0777781
2023-07-21 16:20:00,11.2055556,5.0222223999999995,1388.0855592,35.188889,30.6000002,1687.0,1.0,9982.806141265053,2186.5545737920306,5.917659960526644,1.0,30.166666599999996
2023-07-21 16:30:00,11.2222223,4.9944444,1387.6915528,35.1722223,30.55,1696.0,1.0,10051.820542597914,2185.2552513626915,5.9269916013408315,1.0,30.177777900000002
2023-07-21 16:40:00,11.1833335,5.0055556,1385.6103272,35.033333600000006,30.4611108,1676.0,1.0,9956.046205874345,2187.392638396781,5.940494260753538,1.0,30.027778
2023-07-21 16:50:00,11.2,5.0111112,1382.7862062,35.077778,30.4944444,1686.0,1.0,9953.667542003006,2183.485050660147,5.903783507215788,1.0,30.0666668
2023-07-21 17:00:00,11.1833335,5.0,1384.318628,35.0166668,30.4444442,1666.0,1.0,9955.657838615904,2185.440010141429,5.975964701841027,1.0,30.016666800000003
2023-07-21 17:10:00,11.211110999999999,5.0222223999999995,1381.4298827,35.0222224,30.416666400000004,1697.0,1.0,9943.843638309205,2173.2969612404922,5.859858166431942,1.0,30.0
2023-07-21 17:20:00,11.177778,4.9777776000000005,1379.8732667,34.972222,30.3888889,1676.0,1.0,9950.4487965446,2181.012513454708,5.937002408613279,1.0,29.9944444
2023-07-21 17:30:00,11.1500001,5.0055556,1381.7464112,35.0222224,30.466666500000002,1666.0,1.0,9874.823276631465,2178.2081389607,5.927486569408179,1.0,30.016666800000003
2023-07-21 17:40:00,11.2500001,5.0222223999999995,1384.8532716,35.1222225,30.461111,1713.0,1.0,10031.172933366955,2166.3661745528516,5.856049079018225,1.0,30.1000001
2023-07-21 17:50:00,11.177778,4.9888888,1380.6667359,35.1500002,30.5777778,1683.0,1.0,9938.395572344867,2185.3589849133546,5.9051903305469775,1.0,30.1611114
2023-07-21 18:00:00,11.1722225,4.9888888,1378.9773439,35.127777800000004,30.533333499999998,1685.0,1.0,9917.35403486669,2171.2444353207884,5.885989715307314,1.0,30.138889
2023-07-21 18:10:00,11.1611114,4.9888888,1379.8191896,34.988889,30.4222221,1657.0,1.0,9905.411346753232,2176.9422780612886,5.978082821378939,1.0,30.0000002
2023-07-21 18:20:00,11.2555554,5.038889,1384.5650025999998,34.9944445,30.372222,1709.0,1.0,10011.161294891775,2180.1077857391024,5.858059663851221,1.0,29.955555500000003
2023-07-21 18:30:00,11.25,4.9944444,1381.5381346,35.1500002,30.544444799999997,1702.0,1.0,10051.804863214351,2194.2202966025147,5.905853833627594,1.0,30.155555799999995
2023-07-21 18:40:00,11.238888800000002,5.0055556,1385.2278565000001,35.155555799999995,30.5388892,1702.0,1.0,10042.798725970808,2187.3472466134,5.900628019109971,1.0,30.1500002
2023-07-21 18:50:00,11.2,4.9888888,1377.9426026,35.011111,30.4277777,1676.0,1.0,9954.338311923659,2181.777067490081,5.939401485079516,1.0,30.022222199999998
2023-07-21 19:00:00,11.2166665,5.0,1380.6031493,34.922222,30.344444199999998,1682.0,1.0,9982.509368401443,2190.846135375109,5.935014321872271,1.0,29.922221999999998
2023-07-21 19:10:00,11.222222200000001,4.9833332,1379.0233032,34.933333,30.333333399999997,1681.0,1.0,10006.809435397836,2184.6582110588183,5.952954984658705,1.0,29.949999799999993
2023-07-21 19:20:00,11.177778,4.9888888,1380.7480225,35.0,30.4444441,1672.0,1.0,9938.918065610527,2191.392907298605,5.94442436901987,1.0,30.0111112
2023-07-21 19:30:00,11.222222,5.0111112,1378.0008057999999,35.111111199999996,30.538889,1688.0,1.0,9954.69640251057,2189.4156614945987,5.897513872423811,1.0,30.1
